wind_farm,connection_point_name,eeg_id_identifier,postcode
Alpha Ventus,Alpha Ventus,ALPHA,26725
BorWin1,BARD Offshore I,BAOEE,26725
BorWin2,Global Tech I,GLTEE,26725
BorWin2,Veja Mate,VEJAMATE,26725
,,BRGEE,26725
DolWin1,Borkum West II,BOWZE,26725
DolWin2,Gode Wind I,GOWEE,26725
DolWin2,Gode Wind II,GOWZE,26725
DolWin2,Nordsee One,NORDSEEONE,26725
Riffgat,Riffgat,RIFFE,26725
HelWin1,Meerwind Sued / Ost,MEERWINDSUEDOST,25572
HelWin1,Nordsee Ost,NORDSEEOST,25572
HelWin2,Amrumbank West,AMRWE,25572
SylWin1,Butendiek,BUTENDIEK,25572
SylWin1,Dan Tyske,DYSKE,25572
SylWin1,Sandbank,SANDBANK,25572
